name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
J.Haye,00-0023622,no,TEN,,23,0,0,0.5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Jones,00-0026194,no,TEN,DE,31,7,0,19.5,86,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Hayes,00-0026243,no,TEN,DE,53,4,1,21.0,151,0,0,0,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ford,00-0025591,no,TEN,,17,2,0,8.5,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kearse,00-0009056,no,TEN,,3,0,0,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Hope,00-0021219,no,TEN,,36,2,5,3.5,186,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Harper,00-0019733,no,TEN,,12,0,1,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thornton,00-0021230,no,TEN,,13,1,0,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Fuller,00-0023543,no,TEN,,11,0,4,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vanden Bosch,00-0020382,no,TEN,,44,8,0,19.5,121,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Brown,00-0021490,no,TEN,,18,3,0,8.5,42,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Bulluck,00-0019648,no,TEN,,37,0,5,0,101,0,0,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Allred,00-0023812,no,TEN,,10,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vickerson,00-0023648,no,TEN,DT,37,2,1,5,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Griffin,00-0025406,no,TEN,FS,122,9,14,5,406,0,0,0,5,20,,,,,,,,,,69,76,,6,0,,,,,,,,,,,,,5,5,0,1,0,,,,,,,,,,,,,,
M.Ryan,00-0026143,no,ATL,QB,,,,,,16,5,27,5,-7,,,,,,,,,,,,,,,3516,2266,82,167,6,3,25024,,,,,,,,,,,,,,,,,,198,477,7,4,0,0,603
J.Norwood,00-0024294,no,ATL,,2,0,0,0,0,1,1,1,1,2,,,,,,,,,,243,290,0,29,0,1,0,1,0,0,0,0,,,,,,,,,,,113,0,20,1,0,0,195,102,139,0,0,0,0,321
M.Turner,00-0022821,no,ATL,,,,,,,7,2,12,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,60,53,1,0,0,416,1035,1349,234,43,0,0,4382
J.Snelling,00-0025631,no,ATL,,,,,,,2,1,5,2,0,,,,,,,,,,39,39,0,4,0,,,,,,,,,,,,,,,,,,701,94,160,9,2,0,1160,335,455,18,7,0,0,1315
O.Mughelli,00-0022143,no,ATL,,,,,,,,,,,,,,,,,,,,,6,6,0,1,0,,,,,,,,,,,,,,,,,,154,19,24,4,0,0,202,19,29,0,0,0,0,47
